frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
0,19,18,,,,17,16,,,,0
1,19,18,0,0,0,17,15,0,-1,1,0.05
2,18,18,-1,0,1,17,16,0,1,1,0.1
3,17,18,-1,0,1,18,16,1,0,1,0.15
4,18,16,1,-2,2.236067977,17,15,-1,-1,1.414213562,0.2
5,17,17,-1,1,1.414213562,17,16,0,1,1,0.25
6,18,17,1,0,1,16,17,-1,1,1.414213562,0.3
7,17,16,-1,-1,1.414213562,17,16,1,-1,1.414213562,0.35
8,18,17,1,1,1.414213562,16,16,-1,0,1,0.4
9,18,18,0,1,1,17,16,1,0,1,0.45
10,17,16,-1,-2,2.236067977,17,17,0,1,1,0.5
11,17,17,0,1,1,17,17,0,0,0,0.55
12,14,14,-3,-3,4.242640687,17,16,0,-1,1,0.6
13,18,17,4,3,5,17,16,0,0,0,0.65
14,19,16,1,-1,1.414213562,17,16,0,0,0,0.7
15,18,16,-1,0,1,17,15,0,-1,1,0.75
16,17,16,-1,0,1,16,15,-1,0,1,0.8
17,18,14,1,-2,2.236067977,16,18,0,3,3,0.85
18,18,16,0,2,2,16,18,0,0,0,0.9
19,17,17,-1,1,1.414213562,16,17,0,-1,1,0.95
20,16,19,-1,2,2.236067977,17,17,1,0,1,1
21,17,17,1,-2,2.236067977,16,17,-1,0,1,1.05
22,17,17,0,0,0,16,19,0,2,2,1.1
23,15,19,-2,2,2.828427125,17,17,1,-2,2.236067977,1.15
24,16,18,1,-1,1.414213562,16,19,-1,2,2.236067977,1.2
25,17,17,1,-1,1.414213562,16,18,0,-1,1,1.25
26,18,17,1,0,1,17,18,1,0,1,1.3
27,17,17,-1,0,1,16,18,-1,0,1,1.35
28,17,17,0,0,0,15,18,-1,0,1,1.4
29,18,17,1,0,1,15,17,0,-1,1,1.45
30,18,16,0,-1,1,16,18,1,1,1.414213562,1.5
31,18,16,0,0,0,15,18,-1,0,1,1.55
32,19,17,1,1,1.414213562,16,17,1,-1,1.414213562,1.6
33,16,17,-3,0,3,15,18,-1,1,1.414213562,1.65
34,17,16,1,-1,1.414213562,14,15,-1,-3,3.16227766,1.7
35,17,17,0,1,1,15,17,1,2,2.236067977,1.75
36,17,17,0,0,0,16,18,1,1,1.414213562,1.8
37,17,17,0,0,0,16,16,0,-2,2,1.85
38,17,17,0,0,0,14,17,-2,1,2.236067977,1.9
39,17,16,0,-1,1,15,18,1,1,1.414213562,1.95
40,17,17,0,1,1,16,17,1,-1,1.414213562,2
41,17,17,0,0,0,17,17,1,0,1,2.05
42,17,18,0,1,1,16,16,-1,-1,1.414213562,2.1
43,18,16,1,-2,2.236067977,17,14,1,-2,2.236067977,2.15
44,17,17,-1,1,1.414213562,18,17,1,3,3.16227766,2.2
45,18,17,1,0,1,16,17,-2,0,2,2.25
46,18,17,0,0,0,17,16,1,-1,1.414213562,2.3
47,17,17,-1,0,1,15,17,-2,1,2.236067977,2.35
48,17,17,0,0,0,15,17,0,0,0,2.4
49,18,17,1,0,1,15,15,0,-2,2,2.45
50,17,17,-1,0,1,18,16,3,1,3.16227766,2.5
51,17,16,0,-1,1,,,,,,2.55
52,18,17,1,1,1.414213562,16,14,-2,-2,2.828427125,2.6
53,18,19,0,2,2,16,22,0,8,8,2.65
54,19,19,1,0,1,17,18,1,-4,4.123105626,2.7
55,18,17,-1,-2,2.236067977,18,17,1,-1,1.414213562,2.75
