x_DAC	y_DAC
2074	2058
2060	2069
2062	1973
1983	1945
1934	2014
1904	1978
1878	2032
1960	2038
1926	1968
1918	2027
1901	1966
1975	1931
1963	1953
2027	2028
2003	2079
2023	2003
1966	2037
1901	1970
1937	2027
1960	1996
1872	2019
1913	2032
1831	2066
1909	2120
1824	2053
1743	2115
1779	2128
1709	2110
1684	2043
1632	2088
1654	2131
1637	2139
1673	2193
1578	2227
1580	2162
1563	2173
1575	2155
1506	2155
1461	2100
1365	2061
1301	1985
1207	2020
1187	2099
1094	2131
1006	2163
985	2238
992	2243
991	2340
928	2370
867	2279
788	2304
751	2207
697	2181
725	2112
628	2200
694	2270
765	2270
757	2316
771	2226
789	2312
874	2356
795	2277
721	2188
770	2111
781	2159
817	2236
874	2148
838	2213
853	2242
852	2279
814	2253
719	2186
805	2136
821	2105
898	2110
859	2104
945	2180
865	2229
834	2277
770	2316
794	2246
827	2289
920	2216
941	2118
880	2047
887	2144
904	2172
831	2177
749	2234
838	2327
823	2293
746	2244
736	2224
785	2183
818	2244
915	2344
981	2425
958	2467
996	2411
1030	2374
1070	2348
1009	2321
992	2385
897	2320
809	2401
819	2314
752	2277
830	2316
878	2252
928	2326
952	2295
863	2359
859	2372
814	2459
744	2494
839	2470
840	2411
789	2438
726	2384
680	2452
766	2398
745	2375
686	2457
775	2415
711	2393
732	2436
678	2479
687	2379
635	2282
538	2350
521	2373
431	2347
426	2306
418	2371
440	2452
471	2485
429	2496
340	2439
361	2461
392	2508
307	2528
390	2582
393	2567
407	2652
477	2654
573	2694
570	2684
661	2658
691	2598
679	2534
720	2480
629	2576
590	2483
626	2580
581	2584
592	2494
515	2554
434	2647
339	2694
418	2769
477	2815
493	2867
517	2936
426	2842
496	2919
429	3007
389	3100
346	3074
357	3139
416	3110
508	3144
526	3059
590	2993
551	2905
519	2952
576	2870
563	2901
657	2978
667	2943
614	2847
556	2801
522	2823
605	2912
657	3006
561	3043
616	2996
686	2981
604	3037
668	3034
651	3065
591	3009
588	3087
673	3131
741	3096
722	3099
734	3194
781	3193
796	3269
879	3303
819	3334
749	3382
808	3467
723	3401
683	3401
730	3398
747	3445
673	3396
